X axis,Y axis,Z axis
108.0,102.0,103.5
99.0,97.5,117.0
114.0,111.0,121.5
100.5,99.0,124.5
109.5,108.0,124.5
97.5,96.0,106.5
117.0,109.5,109.5
97.5,94.5,111.0
109.5,103.5,120.0
100.5,91.5,115.5
100.5,93.0,117.0
111.0,105.0,129.0
88.5,100.5,124.5
96.0,96.0,105.0
108.0,87.0,118.5
126.0,117.0,127.5
111.0,102.0,94.5
112.5,106.5,112.5
108.0,96.0,129.0
94.5,103.5,124.5
106.5,105.0,105.0
94.5,94.5,115.5
103.5,102.0,115.5
109.5,102.0,124.5
105.0,99.0,112.5
99.0,102.0,120.0
96.0,103.5,114.0
111.0,109.5,123.0
108.0,105.0,126.0
81.0,102.0,120.0
108.0,103.5,124.5
81.0,90.0,103.5
111.0,106.5,127.5
105.0,78.0,111.0
93.0,94.5,114.0
108.0,94.5,117.0
93.0,94.5,115.5
109.5,97.5,123.0
103.5,76.5,121.5
102.0,100.5,96.0
103.5,100.5,97.5
93.0,73.5,118.5
102.0,94.5,108.0
108.0,102.0,112.5
103.5,81.0,112.5
103.5,93.0,102.0
99.0,96.0,100.5
97.5,82.5,121.5
99.0,85.5,123.0
97.5,87.0,120.0
97.5,100.5,117.0
82.5,85.5,114.0
109.5,91.5,99.0
105.0,94.5,72.0
87.0,90.0,117.0
109.5,93.0,117.0
82.5,82.5,106.5
103.5,51.0,118.5
109.5,102.0,112.5
96.0,96.0,105.0
102.0,85.5,111.0
96.0,90.0,114.0
112.5,96.0,109.5
111.0,102.0,103.5
99.0,84.0,88.5
111.0,88.5,114.0
114.0,99.0,124.5
111.0,84.0,124.5
91.5,84.0,103.5
112.5,99.0,123.0
109.5,97.5,124.5
102.0,102.0,124.5
106.5,79.5,121.5
91.5,85.5,111.0
87.0,69.0,109.5
118.5,88.5,121.5
132.0,112.5,138.0
117.0,96.0,133.5
118.5,99.0,127.5
102.0,79.5,127.5
117.0,100.5,120.0
106.5,102.0,132.0
102.0,94.5,111.0
109.5,88.5,115.5
82.5,70.5,124.5
115.5,100.5,115.5
103.5,87.0,118.5
112.5,84.0,115.5
79.5,87.0,124.5
109.5,102.0,120.0
96.0,96.0,106.5
97.5,99.0,120.0
105.0,93.0,130.5
102.0,90.0,127.5
106.5,90.0,102.0
105.0,94.5,118.5
112.5,105.0,118.5
103.5,99.0,123.0
103.5,99.0,126.0
114.0,100.5,114.0
105.0,88.5,117.0
108.0,96.0,120.0
102.0,88.5,102.0
96.0,87.0,112.5
108.0,96.0,121.5
97.5,90.0,121.5
99.0,94.5,111.0
99.0,88.5,120.0
112.5,100.5,121.5
108.0,93.0,129.0
105.0,102.0,99.0
99.0,67.5,120.0
109.5,87.0,127.5
100.5,96.0,111.0
97.5,85.5,120.0
109.5,94.5,123.0
112.5,103.5,124.5
109.5,103.5,99.0
90.0,84.0,114.0
123.0,109.5,124.5
121.5,106.5,118.5
115.5,96.0,117.0
105.0,93.0,97.5
130.5,117.0,135.0
114.0,100.5,120.0
114.0,102.0,129.0
121.5,106.5,124.5
130.5,118.5,127.5
126.0,114.0,130.5
120.0,105.0,115.5
114.0,106.5,123.0
114.0,99.0,121.5
117.0,96.0,127.5
103.5,97.5,126.0
84.0,99.0,120.0
114.0,97.5,114.0
136.5,123.0,138.0
126.0,114.0,126.0
124.5,112.5,127.5
